Mod:Item:MetaData, Localized Name
artisanworktables:artisans_carver_silver, Artisan's %s Carver
artisanworktables:artisans_carver_steel, Artisan's %s Carver
artisanworktables:artisans_carver_tin, Artisan's %s Carver
artisanworktables:artisans_carver_osmium, Artisan's %s Carver
artisanworktables:artisans_carver_boron, Artisan's %s Carver
artisanworktables:artisans_carver_toughalloy, Artisan's %s Carver
artisanworktables:artisans_carver_hardcarbon, Artisan's %s Carver
artisanworktables:artisans_carver_boronnitride, Artisan's %s Carver
artisanworktables:artisans_razor_wood, Artisan's %s Razor
artisanworktables:artisans_razor_stone, Artisan's %s Razor
artisanworktables:artisans_razor_iron, Artisan's %s Razor
artisanworktables:artisans_razor_gold, Artisan's %s Razor
artisanworktables:artisans_razor_diamond, Artisan's %s Razor
artisanworktables:artisans_razor_flint, Artisan's %s Razor
artisanworktables:artisans_razor_bone, Artisan's %s Razor
artisanworktables:artisans_razor_aluminum, Artisan's %s Razor
artisanworktables:artisans_razor_bronze, Artisan's %s Razor
artisanworktables:artisans_razor_constantan, Artisan's %s Razor
artisanworktables:artisans_razor_copper, Artisan's %s Razor
artisanworktables:artisans_razor_electrum, Artisan's %s Razor
artisanworktables:artisans_razor_invar, Artisan's %s Razor
artisanworktables:artisans_razor_lead, Artisan's %s Razor
artisanworktables:artisans_razor_nickel, Artisan's %s Razor
artisanworktables:artisans_razor_platinum, Artisan's %s Razor
artisanworktables:artisans_razor_silver, Artisan's %s Razor
artisanworktables:artisans_razor_steel, Artisan's %s Razor
artisanworktables:artisans_razor_tin, Artisan's %s Razor
artisanworktables:artisans_razor_osmium, Artisan's %s Razor
artisanworktables:artisans_razor_boron, Artisan's %s Razor
artisanworktables:artisans_razor_toughalloy, Artisan's %s Razor
artisanworktables:artisans_razor_hardcarbon, Artisan's %s Razor
artisanworktables:artisans_razor_boronnitride, Artisan's %s Razor
artisanworktables:artisans_compass_wood, Artisan's %s Compass
artisanworktables:artisans_compass_stone, Artisan's %s Compass
artisanworktables:artisans_compass_iron, Artisan's %s Compass
artisanworktables:artisans_compass_gold, Artisan's %s Compass
artisanworktables:artisans_compass_diamond, Artisan's %s Compass
artisanworktables:artisans_compass_flint, Artisan's %s Compass
artisanworktables:artisans_compass_bone, Artisan's %s Compass
artisanworktables:artisans_compass_aluminum, Artisan's %s Compass
artisanworktables:artisans_compass_bronze, Artisan's %s Compass
artisanworktables:artisans_compass_constantan, Artisan's %s Compass
artisanworktables:artisans_compass_copper, Artisan's %s Compass
artisanworktables:artisans_compass_electrum, Artisan's %s Compass
artisanworktables:artisans_compass_invar, Artisan's %s Compass
artisanworktables:artisans_compass_lead, Artisan's %s Compass
artisanworktables:artisans_compass_nickel, Artisan's %s Compass
artisanworktables:artisans_compass_platinum, Artisan's %s Compass
artisanworktables:artisans_compass_silver, Artisan's %s Compass
artisanworktables:artisans_compass_steel, Artisan's %s Compass
artisanworktables:artisans_compass_tin, Artisan's %s Compass
artisanworktables:artisans_compass_osmium, Artisan's %s Compass
artisanworktables:artisans_compass_boron, Artisan's %s Compass
artisanworktables:artisans_compass_toughalloy, Artisan's %s Compass
artisanworktables:artisans_compass_hardcarbon, Artisan's %s Compass
artisanworktables:artisans_compass_boronnitride, Artisan's %s Compass
artisanworktables:artisans_quill_wood, Artisan's %s Quill
artisanworktables:artisans_quill_stone, Artisan's %s Quill
artisanworktables:artisans_quill_iron, Artisan's %s Quill
artisanworktables:artisans_quill_gold, Artisan's %s Quill
artisanworktables:artisans_quill_diamond, Artisan's %s Quill
artisanworktables:artisans_quill_flint, Artisan's %s Quill
artisanworktables:artisans_quill_bone, Artisan's %s Quill
artisanworktables:artisans_quill_aluminum, Artisan's %s Quill
artisanworktables:artisans_quill_bronze, Artisan's %s Quill
artisanworktables:artisans_quill_constantan, Artisan's %s Quill
artisanworktables:artisans_quill_copper, Artisan's %s Quill
artisanworktables:artisans_quill_electrum, Artisan's %s Quill
artisanworktables:artisans_quill_invar, Artisan's %s Quill
artisanworktables:artisans_quill_lead, Artisan's %s Quill
artisanworktables:artisans_quill_nickel, Artisan's %s Quill
artisanworktables:artisans_quill_platinum, Artisan's %s Quill
artisanworktables:artisans_quill_silver, Artisan's %s Quill
artisanworktables:artisans_quill_steel, Artisan's %s Quill
artisanworktables:artisans_quill_tin, Artisan's %s Quill
artisanworktables:artisans_quill_osmium, Artisan's %s Quill
artisanworktables:artisans_quill_boron, Artisan's %s Quill
artisanworktables:artisans_quill_toughalloy, Artisan's %s Quill
artisanworktables:artisans_quill_hardcarbon, Artisan's %s Quill
artisanworktables:artisans_quill_boronnitride, Artisan's %s Quill
artisanworktables:artisans_needle_wood, Artisan's %s Needle
artisanworktables:artisans_needle_stone, Artisan's %s Needle
artisanworktables:artisans_needle_iron, Artisan's %s Needle
artisanworktables:artisans_needle_gold, Artisan's %s Needle
artisanworktables:artisans_needle_diamond, Artisan's %s Needle
artisanworktables:artisans_needle_flint, Artisan's %s Needle
artisanworktables:artisans_needle_bone, Artisan's %s Needle
artisanworktables:artisans_needle_aluminum, Artisan's %s Needle
artisanworktables:artisans_needle_bronze, Artisan's %s Needle
artisanworktables:artisans_needle_constantan, Artisan's %s Needle
artisanworktables:artisans_needle_copper, Artisan's %s Needle
artisanworktables:artisans_needle_electrum, Artisan's %s Needle
artisanworktables:artisans_needle_invar, Artisan's %s Needle
artisanworktables:artisans_needle_lead, Artisan's %s Needle
artisanworktables:artisans_needle_nickel, Artisan's %s Needle
artisanworktables:artisans_needle_platinum, Artisan's %s Needle
artisanworktables:artisans_needle_silver, Artisan's %s Needle
artisanworktables:artisans_needle_steel, Artisan's %s Needle
artisanworktables:artisans_needle_tin, Artisan's %s Needle
artisanworktables:artisans_needle_osmium, Artisan's %s Needle
artisanworktables:artisans_needle_boron, Artisan's %s Needle
artisanworktables:artisans_needle_toughalloy, Artisan's %s Needle
artisanworktables:artisans_needle_hardcarbon, Artisan's %s Needle
artisanworktables:artisans_needle_boronnitride, Artisan's %s Needle
artisanworktables:artisans_shears_wood, Artisan's %s Shears
artisanworktables:artisans_shears_stone, Artisan's %s Shears
artisanworktables:artisans_shears_iron, Artisan's %s Shears
artisanworktables:artisans_shears_gold, Artisan's %s Shears
artisanworktables:artisans_shears_diamond, Artisan's %s Shears
artisanworktables:artisans_shears_flint, Artisan's %s Shears
artisanworktables:artisans_shears_bone, Artisan's %s Shears
artisanworktables:artisans_shears_aluminum, Artisan's %s Shears
artisanworktables:artisans_shears_bronze, Artisan's %s Shears
artisanworktables:artisans_shears_constantan, Artisan's %s Shears
artisanworktables:artisans_shears_copper, Artisan's %s Shears
artisanworktables:artisans_shears_electrum, Artisan's %s Shears
artisanworktables:artisans_shears_invar, Artisan's %s Shears
artisanworktables:artisans_shears_lead, Artisan's %s Shears
artisanworktables:artisans_shears_nickel, Artisan's %s Shears
artisanworktables:artisans_shears_platinum, Artisan's %s Shears
artisanworktables:artisans_shears_silver, Artisan's %s Shears
artisanworktables:artisans_shears_steel, Artisan's %s Shears
artisanworktables:artisans_shears_tin, Artisan's %s Shears
artisanworktables:artisans_shears_osmium, Artisan's %s Shears
artisanworktables:artisans_shears_boron, Artisan's %s Shears
artisanworktables:artisans_shears_toughalloy, Artisan's %s Shears
artisanworktables:artisans_shears_hardcarbon, Artisan's %s Shears
artisanworktables:artisans_shears_boronnitride, Artisan's %s Shears
artisanworktables:artisans_punch_wood, Artisan's %s Punch
artisanworktables:artisans_punch_stone, Artisan's %s Punch
artisanworktables:artisans_punch_iron, Artisan's %s Punch
artisanworktables:artisans_punch_gold, Artisan's %s Punch
artisanworktables:artisans_punch_diamond, Artisan's %s Punch
artisanworktables:artisans_punch_flint, Artisan's %s Punch
artisanworktables:artisans_punch_bone, Artisan's %s Punch
artisanworktables:artisans_punch_aluminum, Artisan's %s Punch
artisanworktables:artisans_punch_bronze, Artisan's %s Punch
artisanworktables:artisans_punch_constantan, Artisan's %s Punch
artisanworktables:artisans_punch_copper, Artisan's %s Punch
artisanworktables:artisans_punch_electrum, Artisan's %s Punch
artisanworktables:artisans_punch_invar, Artisan's %s Punch
artisanworktables:artisans_punch_lead, Artisan's %s Punch
artisanworktables:artisans_punch_nickel, Artisan's %s Punch
artisanworktables:artisans_punch_platinum, Artisan's %s Punch
artisanworktables:artisans_punch_silver, Artisan's %s Punch
artisanworktables:artisans_punch_steel, Artisan's %s Punch
artisanworktables:artisans_punch_tin, Artisan's %s Punch
artisanworktables:artisans_punch_osmium, Artisan's %s Punch
artisanworktables:artisans_punch_boron, Artisan's %s Punch
artisanworktables:artisans_punch_toughalloy, Artisan's %s Punch
artisanworktables:artisans_punch_hardcarbon, Artisan's %s Punch
artisanworktables:artisans_punch_boronnitride, Artisan's %s Punch
artisanworktables:artisans_groover_wood, Artisan's %s Groover
artisanworktables:artisans_groover_stone, Artisan's %s Groover
artisanworktables:artisans_groover_iron, Artisan's %s Groover
artisanworktables:artisans_groover_gold, Artisan's %s Groover
artisanworktables:artisans_groover_diamond, Artisan's %s Groover
artisanworktables:artisans_groover_flint, Artisan's %s Groover
artisanworktables:artisans_groover_bone, Artisan's %s Groover
artisanworktables:artisans_groover_aluminum, Artisan's %s Groover
artisanworktables:artisans_groover_bronze, Artisan's %s Groover
artisanworktables:artisans_groover_constantan, Artisan's %s Groover
artisanworktables:artisans_groover_copper, Artisan's %s Groover
artisanworktables:artisans_groover_electrum, Artisan's %s Groover
artisanworktables:artisans_groover_invar, Artisan's %s Groover
artisanworktables:artisans_groover_lead, Artisan's %s Groover
artisanworktables:artisans_groover_nickel, Artisan's %s Groover
artisanworktables:artisans_groover_platinum, Artisan's %s Groover
artisanworktables:artisans_groover_silver, Artisan's %s Groover
artisanworktables:artisans_groover_steel, Artisan's %s Groover
artisanworktables:artisans_groover_tin, Artisan's %s Groover
artisanworktables:artisans_groover_osmium, Artisan's %s Groover
artisanworktables:artisans_groover_boron, Artisan's %s Groover
artisanworktables:artisans_groover_toughalloy, Artisan's %s Groover
artisanworktables:artisans_groover_hardcarbon, Artisan's %s Groover
artisanworktables:artisans_groover_boronnitride, Artisan's %s Groover
artisanworktables:artisans_mortar_wood, Artisan's %s Mortar
artisanworktables:artisans_mortar_stone, Artisan's %s Mortar
artisanworktables:artisans_mortar_iron, Artisan's %s Mortar
artisanworktables:artisans_mortar_gold, Artisan's %s Mortar
artisanworktables:artisans_mortar_diamond, Artisan's %s Mortar
artisanworktables:artisans_mortar_flint, Artisan's %s Mortar
artisanworktables:artisans_mortar_bone, Artisan's %s Mortar
artisanworktables:artisans_mortar_aluminum, Artisan's %s Mortar
artisanworktables:artisans_mortar_bronze, Artisan's %s Mortar
artisanworktables:artisans_mortar_constantan, Artisan's %s Mortar
artisanworktables:artisans_mortar_copper, Artisan's %s Mortar
artisanworktables:artisans_mortar_electrum, Artisan's %s Mortar
artisanworktables:artisans_mortar_invar, Artisan's %s Mortar
artisanworktables:artisans_mortar_lead, Artisan's %s Mortar
artisanworktables:artisans_mortar_nickel, Artisan's %s Mortar
artisanworktables:artisans_mortar_platinum, Artisan's %s Mortar
artisanworktables:artisans_mortar_silver, Artisan's %s Mortar
artisanworktables:artisans_mortar_steel, Artisan's %s Mortar
artisanworktables:artisans_mortar_tin, Artisan's %s Mortar
artisanworktables:artisans_mortar_osmium, Artisan's %s Mortar
artisanworktables:artisans_mortar_boron, Artisan's %s Mortar
artisanworktables:artisans_mortar_toughalloy, Artisan's %s Mortar
artisanworktables:artisans_mortar_hardcarbon, Artisan's %s Mortar
artisanworktables:artisans_mortar_boronnitride, Artisan's %s Mortar
artisanworktables:artisans_knife_wood, Artisan's %s Knife
artisanworktables:artisans_knife_stone, Artisan's %s Knife
artisanworktables:artisans_knife_iron, Artisan's %s Knife
artisanworktables:artisans_knife_gold, Artisan's %s Knife
artisanworktables:artisans_knife_diamond, Artisan's %s Knife
artisanworktables:artisans_knife_flint, Artisan's %s Knife
artisanworktables:artisans_knife_bone, Artisan's %s Knife
artisanworktables:artisans_knife_aluminum, Artisan's %s Knife
artisanworktables:artisans_knife_bronze, Artisan's %s Knife
artisanworktables:artisans_knife_constantan, Artisan's %s Knife
artisanworktables:artisans_knife_copper, Artisan's %s Knife
artisanworktables:artisans_knife_electrum, Artisan's %s Knife
artisanworktables:artisans_knife_invar, Artisan's %s Knife
artisanworktables:artisans_knife_lead, Artisan's %s Knife
artisanworktables:artisans_knife_nickel, Artisan's %s Knife
artisanworktables:artisans_knife_platinum, Artisan's %s Knife
artisanworktables:artisans_knife_silver, Artisan's %s Knife
artisanworktables:artisans_knife_steel, Artisan's %s Knife
artisanworktables:artisans_knife_tin, Artisan's %s Knife
artisanworktables:artisans_knife_osmium, Artisan's %s Knife
artisanworktables:artisans_knife_boron, Artisan's %s Knife
artisanworktables:artisans_knife_toughalloy, Artisan's %s Knife
artisanworktables:artisans_knife_hardcarbon, Artisan's %s Knife
artisanworktables:artisans_knife_boronnitride, Artisan's %s Knife
artisanworktables:artisans_hatchet_wood, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_stone, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_iron, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_gold, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_diamond, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_flint, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_bone, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_aluminum, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_bronze, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_constantan, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_copper, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_electrum, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_invar, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_lead, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_nickel, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_platinum, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_silver, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_steel, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_tin, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_osmium, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_boron, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_toughalloy, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_hardcarbon, Artisan's %s Hatchet
artisanworktables:artisans_hatchet_boronnitride, Artisan's %s Hatchet
artisanworktables:artisans_file_wood, Artisan's %s File
artisanworktables:artisans_file_stone, Artisan's %s File
artisanworktables:artisans_file_iron, Artisan's %s File
artisanworktables:artisans_file_gold, Artisan's %s File
artisanworktables:artisans_file_diamond, Artisan's %s File
artisanworktables:artisans_file_flint, Artisan's %s File
artisanworktables:artisans_file_bone, Artisan's %s File
artisanworktables:artisans_file_aluminum, Artisan's %s File
artisanworktables:artisans_file_bronze, Artisan's %s File
artisanworktables:artisans_file_constantan, Artisan's %s File
artisanworktables:artisans_file_copper, Artisan's %s File
artisanworktables:artisans_file_electrum, Artisan's %s File
artisanworktables:artisans_file_invar, Artisan's %s File
artisanworktables:artisans_file_lead, Artisan's %s File
artisanworktables:artisans_file_nickel, Artisan's %s File
artisanworktables:artisans_file_platinum, Artisan's %s File
artisanworktables:artisans_file_silver, Artisan's %s File
artisanworktables:artisans_file_steel, Artisan's %s File
artisanworktables:artisans_file_tin, Artisan's %s File
artisanworktables:artisans_file_osmium, Artisan's %s File
artisanworktables:artisans_file_boron, Artisan's %s File
artisanworktables:artisans_file_toughalloy, Artisan's %s File
artisanworktables:artisans_file_hardcarbon, Artisan's %s File
artisanworktables:artisans_file_boronnitride, Artisan's %s File
artisanworktables:artisans_solderer_wood, Artisan's %s Solderer
artisanworktables:artisans_solderer_stone, Artisan's %s Solderer
artisanworktables:artisans_solderer_iron, Artisan's %s Solderer
artisanworktables:artisans_solderer_gold, Artisan's %s Solderer
artisanworktables:artisans_solderer_diamond, Artisan's %s Solderer
artisanworktables:artisans_solderer_flint, Artisan's %s Solderer
artisanworktables:artisans_solderer_bone, Artisan's %s Solderer
artisanworktables:artisans_solderer_aluminum, Artisan's %s Solderer
artisanworktables:artisans_solderer_bronze, Artisan's %s Solderer
artisanworktables:artisans_solderer_constantan, Artisan's %s Solderer
artisanworktables:artisans_solderer_copper, Artisan's %s Solderer
artisanworktables:artisans_solderer_electrum, Artisan's %s Solderer
artisanworktables:artisans_solderer_invar, Artisan's %s Solderer
artisanworktables:artisans_solderer_lead, Artisan's %s Solderer
artisanworktables:artisans_solderer_nickel, Artisan's %s Solderer
artisanworktables:artisans_solderer_platinum, Artisan's %s Solderer
artisanworktables:artisans_solderer_silver, Artisan's %s Solderer
artisanworktables:artisans_solderer_steel, Artisan's %s Solderer
artisanworktables:artisans_solderer_tin, Artisan's %s Solderer
artisanworktables:artisans_solderer_osmium, Artisan's %s Solderer
artisanworktables:artisans_solderer_boron, Artisan's %s Solderer
artisanworktables:artisans_solderer_toughalloy, Artisan's %s Solderer
artisanworktables:artisans_solderer_hardcarbon, Artisan's %s Solderer
artisanworktables:artisans_solderer_boronnitride, Artisan's %s Solderer
artisanworktables:toolbox, Toolbox
artisanworktables:mechanical_toolbox, Mechanical Toolbox
quark:sugar_block, tile.sugar_block.name
quark:redstone_randomizer, tile.redstone_randomizer.name
quark:iron_button, tile.iron_button.name
quark:gold_button, tile.gold_button.name
quark:ender_watcher, tile.ender_watcher.name
quark:iron_rod, tile.iron_rod.name
quark:color_slime:0, Red Slime Block
quark:color_slime:1, Blue Slime Block
quark:color_slime:2, Cyan Slime Block
quark:color_slime:3, Magenta Slime Block
quark:color_slime:4, Yellow Slime Block
quark:redstone_inductor, tile.redstone_inductor.name
quark:obsidian_pressure_plate, tile.obsidian_pressure_plate.name
quark:rain_detector, tile.rain_detector.name
quark:roots, tile.roots.name
quark:root, item.root.name
quark:roots_blue_flower, tile.roots_blue_flower.name
quark:roots_black_flower, tile.roots_black_flower.name
quark:roots_white_flower, tile.roots_white_flower.name
quark:root_flower:0, Blue Sprout
quark:root_flower:1, Black Sprout
quark:root_flower:2, White Sprout
quark:root_dye:0, Blue Dye
quark:root_dye:1, Black Dye
quark:root_dye:2, White Dye
quark:diamond_heart, item.diamond_heart.name
quark:archaeologist_hat, item.archaeologist_hat.name
quark:variant_leaves:0, Swamp Oak Leaves
quark:variant_leaves:1, Blossoming Leaves
quark:variant_sapling:0, Swamp Oak Sapling
quark:variant_sapling:1, Blossoming Sapling
quark:crystal:0, White Cave Crystal
quark:crystal:1, Red Cave Crystal
quark:crystal:2, Orange Cave Crystal
quark:crystal:3, Yellow Cave Crystal
quark:crystal:4, Green Cave Crystal
quark:crystal:5, Blue Cave Crystal
quark:crystal:6, Indigo Cave Crystal
quark:crystal:7, Violet Cave Crystal
quark:crystal:8, Black Cave Crystal
quark:crystal_pane:0, White Cave Crystal Sheet
quark:crystal_pane:1, Red Cave Crystal Sheet
quark:crystal_pane:2, Orange Cave Crystal Sheet
quark:crystal_pane:3, Yellow Cave Crystal Sheet
quark:crystal_pane:4, Green Cave Crystal Sheet
quark:crystal_pane:5, Blue Cave Crystal Sheet
quark:crystal_pane:6, Indigo Cave Crystal Sheet
quark:crystal_pane:7, Violet Cave Crystal Sheet
quark:crystal_pane:8, Black Cave Crystal Sheet
quark:biotite_ore, tile.biotite_ore.name
quark:biotite_block:0, Block of Biotite
quark:biotite_block:1, Chiseled Biotite Block
quark:biotite_block:2, Pillar Biotite Block
quark:biotite, item.biotite.name
quark:biotite_slab:0, Biotite Slab
quark:biotite_stairs, tile.biotite_stairs.name
quark:biotite_wall, tile.biotite_wall.name
quark:monster_box, tile.monster_box.name
quark:basalt:0, Basalt
quark:basalt:1, Polished Basalt
quark:stone_basalt_slab:0, Basalt Slab
quark:stone_basalt_stairs, tile.stone_basalt_stairs.name
quark:basalt_wall, tile.basalt_wall.name
quark:crab_leg, item.crab_leg.name
quark:cooked_crab_leg, item.cooked_crab_leg.name
quark:crab_shell, item.crab_shell.name
quark:soul_bead, item.soul_bead.name
quark:smoker, tile.smoker.name
quark:glass_shards:0, Glass Shard
quark:glass_shards:1, White Glass Shard
quark:glass_shards:2, Orange Glass Shard
quark:glass_shards:3, Magenta Glass Shard
quark:glass_shards:4, Light Blue Glass Shard
quark:glass_shards:5, Yellow Glass Shard
quark:glass_shards:6, Lime Glass Shard
quark:glass_shards:7, Pink Glass Shard
quark:glass_shards:8, Gray Glass Shard
quark:glass_shards:9, Light Gray Glass Shard
quark:glass_shards:10, Cyan Glass Shard
quark:glass_shards:11, Purple Glass Shard
quark:glass_shards:12, Blue Glass Shard
quark:glass_shards:13, Brown Glass Shard
quark:glass_shards:14, Green Glass Shard
quark:glass_shards:15, Red Glass Shard
quark:glass_shards:16, Black Glass Shard
quark:sandstone_new:0, Polished Sandstone
quark:sandstone_new:1, Sandstone Bricks
quark:sandstone_new:2, Polished Red Sandstone
quark:sandstone_new:3, Red Sandstone Bricks
quark:sandstone_new:4, Polished Soul Sandstone
quark:sandstone_new:5, Soul Sandstone Bricks
quark:sandstone_bricks_stairs, tile.sandstone_bricks_stairs.name
quark:red_sandstone_bricks_stairs, tile.red_sandstone_bricks_stairs.name
quark:soul_sandstone_bricks_stairs, tile.soul_sandstone_bricks_stairs.name
quark:sandstone_smooth_slab:0, Polished Sandstone Slab
quark:sandstone_bricks_slab:0, Sandstone Brick Slab
quark:red_sandstone_smooth_slab:0, Polished Red Sandstone Slab
quark:red_sandstone_bricks_slab:0, Red Sandstone Brick Slab
quark:soul_sandstone_smooth_slab:0, Polished Soul Sandstone Slab
quark:soul_sandstone_bricks_slab:0, Soul Sandstone Brick Slab
quark:polished_stone, tile.polished_stone.name
quark:stone_wall, tile.stone_wall.name
quark:stone_granite_wall, tile.stone_granite_wall.name
quark:stone_diorite_wall, tile.stone_diorite_wall.name
quark:stone_andesite_wall, tile.stone_andesite_wall.name
quark:sandstone_wall, tile.sandstone_wall.name
quark:red_sandstone_wall, tile.red_sandstone_wall.name
quark:stonebrick_wall, tile.stonebrick_wall.name
quark:brick_wall, tile.brick_wall.name
quark:quartz_wall, tile.quartz_wall.name
quark:prismarine_rough_wall, tile.prismarine_rough_wall.name
quark:prismarine_bricks_wall, tile.prismarine_bricks_wall.name
quark:dark_prismarine_wall, tile.dark_prismarine_wall.name
quark:purpur_block_wall, tile.purpur_block_wall.name
quark:end_bricks_wall, tile.end_bricks_wall.name
quark:stonebrick_mossy_wall, tile.stonebrick_mossy_wall.name
quark:stained_planks:0, White Stained Planks
quark:stained_planks:1, Orange Stained Planks
quark:stained_planks:2, Magenta Stained Planks
quark:stained_planks:3, Light Blue Stained Planks
quark:stained_planks:4, Yellow Stained Planks
quark:stained_planks:5, Lime Stained Planks
quark:stained_planks:6, Pink Stained Planks
quark:stained_planks:7, Gray Stained Planks
quark:stained_planks:8, Light Gray Stained Planks
quark:stained_planks:9, Cyan Stained Planks
quark:stained_planks:10, Purple Stained Planks
quark:stained_planks:11, Blue Stained Planks
quark:stained_planks:12, Brown Stained Planks
quark:stained_planks:13, Green Stained Planks
quark:stained_planks:14, Red Stained Planks
quark:stained_planks:15, Black Stained Planks
quark:stained_planks_white_stairs, tile.stained_planks_white_stairs.name
quark:stained_planks_orange_stairs, tile.stained_planks_orange_stairs.name
quark:stained_planks_magenta_stairs, tile.stained_planks_magenta_stairs.name
quark:stained_planks_light_blue_stairs, tile.stained_planks_light_blue_stairs.name
quark:stained_planks_yellow_stairs, tile.stained_planks_yellow_stairs.name
quark:stained_planks_lime_stairs, tile.stained_planks_lime_stairs.name
quark:stained_planks_pink_stairs, tile.stained_planks_pink_stairs.name
quark:stained_planks_gray_stairs, tile.stained_planks_gray_stairs.name
quark:stained_planks_silver_stairs, tile.stained_planks_silver_stairs.name
quark:stained_planks_cyan_stairs, tile.stained_planks_cyan_stairs.name
quark:stained_planks_purple_stairs, tile.stained_planks_purple_stairs.name
quark:stained_planks_blue_stairs, tile.stained_planks_blue_stairs.name
quark:stained_planks_brown_stairs, tile.stained_planks_brown_stairs.name
quark:stained_planks_green_stairs, tile.stained_planks_green_stairs.name
quark:stained_planks_red_stairs, tile.stained_planks_red_stairs.name
quark:stained_planks_black_stairs, tile.stained_planks_black_stairs.name
quark:stained_planks_white_slab:0, White Stained Wood Slab
quark:stained_planks_orange_slab:0, Orange Stained Wood Slab
quark:stained_planks_magenta_slab:0, Magenta Stained Wood Slab
quark:stained_planks_light_blue_slab:0, Light Blue Stained Wood Slab
quark:stained_planks_yellow_slab:0, Yellow Stained Wood Slab
quark:stained_planks_lime_slab:0, Lime Stained Wood Slab
quark:stained_planks_pink_slab:0, Pink Stained Wood Slab
quark:stained_planks_gray_slab:0, Gray Stained Wood Slab
quark:stained_planks_silver_slab:0, Light Gray Stained Wood Slab
quark:stained_planks_cyan_slab:0, Cyan Stained Wood Slab
quark:stained_planks_purple_slab:0, Purple Stained Wood Slab
quark:stained_planks_blue_slab:0, Blue Stained Wood Slab
quark:stained_planks_brown_slab:0, Brown Stained Wood Slab
quark:stained_planks_green_slab:0, Green Stained Wood Slab
quark:stained_planks_red_slab:0, Red Stained Wood Slab
quark:stained_planks_black_slab:0, Black Stained Wood Slab
quark:hardened_clay_tiles, tile.hardened_clay_tiles.name
quark:hardened_clay_tiles_stairs, tile.hardened_clay_tiles_stairs.name
quark:hardened_clay_tiles_slab:0, Terracotta Shingle Slab
quark:stained_clay_tiles:0, White Terracotta Shingles
quark:stained_clay_tiles:1, Orange Terracotta Shingles
quark:stained_clay_tiles:2, Magenta Terracotta Shingles
quark:stained_clay_tiles:3, Light Blue Terracotta Shingles
quark:stained_clay_tiles:4, Yellow Terracotta Shingles
quark:stained_clay_tiles:5, Lime Terracotta Shingles
quark:stained_clay_tiles:6, Pink Terracotta Shingles
quark:stained_clay_tiles:7, Gray Terracotta Shingles
quark:stained_clay_tiles:8, Light Gray Terracotta Shingles
quark:stained_clay_tiles:9, Cyan Terracotta Shingles
quark:stained_clay_tiles:10, Purple Terracotta Shingles
quark:stained_clay_tiles:11, Blue Terracotta Shingles
quark:stained_clay_tiles:12, Brown Terracotta Shingles
quark:stained_clay_tiles:13, Green Terracotta Shingles
quark:stained_clay_tiles:14, Red Terracotta Shingles
quark:stained_clay_tiles:15, Black Terracotta Shingles
quark:stained_clay_tiles_white_stairs, tile.stained_clay_tiles_white_stairs.name
quark:stained_clay_tiles_orange_stairs, tile.stained_clay_tiles_orange_stairs.name
quark:stained_clay_tiles_magenta_stairs, tile.stained_clay_tiles_magenta_stairs.name
quark:stained_clay_tiles_light_blue_stairs, tile.stained_clay_tiles_light_blue_stairs.name
quark:stained_clay_tiles_yellow_stairs, tile.stained_clay_tiles_yellow_stairs.name
quark:stained_clay_tiles_lime_stairs, tile.stained_clay_tiles_lime_stairs.name
quark:stained_clay_tiles_pink_stairs, tile.stained_clay_tiles_pink_stairs.name
quark:stained_clay_tiles_gray_stairs, tile.stained_clay_tiles_gray_stairs.name
quark:stained_clay_tiles_silver_stairs, tile.stained_clay_tiles_silver_stairs.name
quark:stained_clay_tiles_cyan_stairs, tile.stained_clay_tiles_cyan_stairs.name
quark:stained_clay_tiles_purple_stairs, tile.stained_clay_tiles_purple_stairs.name
quark:stained_clay_tiles_blue_stairs, tile.stained_clay_tiles_blue_stairs.name
quark:stained_clay_tiles_brown_stairs, tile.stained_clay_tiles_brown_stairs.name
quark:stained_clay_tiles_green_stairs, tile.stained_clay_tiles_green_stairs.name
quark:stained_clay_tiles_red_stairs, tile.stained_clay_tiles_red_stairs.name
quark:stained_clay_tiles_black_stairs, tile.stained_clay_tiles_black_stairs.name
quark:stained_clay_tiles_white_slab:0, White Terracotta Shingle Slab
